caba_id,distrito_id,seccion_id,circuito,nombre,direccion,mesa_desde,mesa_hasta,num_mesas,geom
4369,1,1,1,ESC N°3 BERNARDINO RIVADAVIA,BOLIVAR 1235,19,28,10,0101000020E610000004F8502AB82F4DC0601AC11BAB4F41C0
4593,1,1,6,COL. NAC.Nº2 D F SARMIENTO,LIBERTAD 1257,115,136,22,0101000020E6100000A687C30934314DC0E277EF19FA4B41C0
4409,1,1,9,ESC N°13 GRAL SAN MARTIN,SAN MARTIN 458,192,206,15,0101000020E6100000A76BA26EDC2F4DC0CAE41223244D41C0
5330,1,1,10,ESC N°7 PTE ROCA,LIBERTAD 581,225,234,10,0101000020E6100000162C0F1420314DC0B9F15F9D054D41C0
9026,1,1,10,UMSA UNIV DE MUSEO SOCIAL ARG,SARMIENTO 1565,252,259,8,0101000020E610000000C40329C5314DC07465DB557D4D41C0
5118,1,1,14,ESC POLITECNICA Nº5 M BELGRANO,BOLIVAR 346,367,371,5,0101000020E61000007016F7E1C82F4DC09E42126A514E41C0
8716,1,1,14,COLEGIO NACIONAL BUENOS AIRES,BOLIVAR 263,372,381,10,0101000020E6100000E49DBED7CC2F4DC05F0381F3344E41C0
9055,1,1,16,INST SIMON BOLIVAR,BOLIVAR 1163,428,431,4,0101000020E6100000760F62E1B92F4DC04580F4FB8A4F41C0
9064,1,1,19,INST ROSA ANCHORENA DE IBAÑEZ,SAN JUAN AV. 1774,509,512,4,0101000020E6100000C495F7DD0A324DC0C92B037DB74F41C0
4676,1,2,21,INSTITUTO NTRA SRA DEL PILAR,"LOPEZ, VICENTE 1969",574,577,4,0101000020E6100000184FD65544324DC0C4B0331B714B41C0
8960,1,15,160,ESC N°6 DELFIN JIJENA,OLAYA 1565,7012,7014,3,0101000020E610000098C6EDE722394DC03EE9D2122E4D41C0
4295,1,3,33,ESC Nº16 PRESIDENTE MITRE,SARMIENTO 2832,1057,1068,12,0101000020E6100000E3C837A612344DC015604E73A64D41C0
8743,1,3,34,ESC Nº14 CORNELIO SAAVEDRA,SARMIENTO 2250,1107,1120,14,0101000020E6100000F4C40A5107334DC033B959F9934D41C0
4322,1,3,38,ESC N°9 MARIANO MORENO,MORENO 2104,1226,1234,9,0101000020E6100000605F8B16BD324DC062EE18BC774E41C0
8746,1,3,38,ESC Nº34 MONSEÑOR DE ANDREA,MORENO 2135,1246,1252,7,0101000020E610000061572018C2324DC0555129A1754E41C0
4341,1,3,39,COL ISABEL CONDE DE HERNANDEZ,MORENO 1859,1263,1266,4,0101000020E6100000CF531AC340324DC07E56D4AE6C4E41C0
4282,1,3,42,ESC N°25 GERVASIO A DE POSADAS,SAN JUAN AV. 2277,1371,1381,11,0101000020E610000041786729DB324DC00002FC3AC14F41C0
9338,1,4,53,ESC N°13 REPUBLICA DE CHILE,SUAREZ 1145,1773,1781,9,0101000020E6100000DE324FA22D2F4DC094CB819DAD5141C0
9344,1,4,55,NTRA SRA DIVINA PROVIDENCIA,CACHI 724,1845,1850,6,0101000020E610000096F413B0A3344DC03D0E54D5575341C0
4009,1,4,57,ESC N°14 PROVINCIA DE SAN LUIS,CACHI 77,1877,1888,12,0101000020E61000003874B05AE2344DC0C580F4C0755241C0
4180,1,5,60,ESC N°14 INTENDENTE ALVEAR,CASTRO 954,2018,2029,12,0101000020E61000001A4A807BD2354DC07F237714DA4F41C0
4472,1,6,72,INST REDEMETRIX CAPTIVORUM,ESPINOSA 1220,2702,2717,16,0101000020E6100000E56634A30E3A4DC013A404FBF54D41C0
4195,1,7,80,ESC Nº12 FACUNDO ZUVIRIA,FRANKLIN 1836,3058,3071,14,0101000020E61000003D9202E1F53A4DC03879A36DC24E41C0
5228,1,10,102,ESCUELA N°24 MAIPU,GALLARDO 521,4178,4183,6,0101000020E61000003266264A26434DC04AC97E53FC5041C0
4800,1,10,104,ESCUELA N°2 ALEJANDRO AGUADO,CERVANTES 1911,4233,4240,8,0101000020E61000008A1A61092F414DC061CDA263954F41C0
5236,1,10,106,INST N S DEL BUEN Y P SOCORRO,IRIGOYEN 1143,4339,4347,9,0101000020E6100000E0E009B1DE414DC01A5E66BF9B5041C0
4907,1,11,116,ESCUELA N°9 JAPON,SANCHEZ 1858,4736,4745,10,0101000020E61000002D145BCE9B3B4DC0E01ACA31B24D41C0
5016,1,13,138,BELGRANO DAY SCHOOL,MENDOZA 3036,5834,5841,8,0101000020E6100000DA76AFC84F3B4DC05B26F610454841C0
4424,1,13,139,ENET N°28 REP FRANCESA,CUBA 2410,5842,5855,14,0101000020E6100000EBA954928C3A4DC0BB27B63E694741C0
4507,1,13,141,ESC N°8 A GONZALEZ FERNANDEZ,MENDOZA 1000,5919,5933,15,0101000020E6100000C8944F37B0384DC022EB4319B64641C0
