id_lista,id_partido,descripcion,especial
85,23,Por la Gente,0
109,20,Lista B,0
136,23,La Patriada,0
145,26,Lista A,0
42,82,Las Rojas,0
112,18,MMXV,0
102,21,Unidad,0
119,23,Revolución Urbana,0
87,16,Transparencia y Gestión,0
114,23,Ciudad para Todos,0
128,16,Sumá Trasparencia,0
30,80,Lista Común,0
120,25,Ciudad Justa,0
149,24,Fortaleza,0
151,24,Trabajo y Progreso,0
84,18,Hay Equipo,0
108,20,Lista A,0
133,21,Lista 2,0
94,16,Abrimos BA,0
148,21,Lista 4,0
106,25,Vientos de Cambio,0
141,21,Lista 3,0
116,23,Movimiento Unidad Popular,0
83,23,Justicia Social,0
137,61,Lista Única,0
147,24,Frente Renovador,0
155,23,Podemos Vivir Mejor,0
139,23,Lista Unidos y Organizados,0
129,16,Sumá +,0
29,81,Caminamos Preguntando,0
144,17,Lista Unidad,0
79,23,Frente Sí,0
127,21,Lista 1,0
125,23,La Ciudad es el Otro,0
157,35,Compromiso Federal,0
103,23,Unidos por la Ciudad,0
92,18,Sigamos con el Cambio,0
124,19,Lista Celeste y Blanca,0
115,23,Espacio Abierto Aluvión ,0
107,22,Otro Camino para Gobernar,0
BLC,BLC,Votos en BLANCO,1
NUL,NUL,Votos NULOS,1
REC,REC,Votos RECURRIDOS,1
IMP,IMP,Votos de Identidad Impugnada,1
